key,value
env_id,1
task_id,7023
app_pit,2026-07-20T21:30:11
task_name,polaris-bhv4-ten-percent
task_type,spark
start_time,2026-07-20T21:30:13.992000+00:00
end_time,2026-07-20T21:45:05.171000+00:00
status,COMPLETED
error,
app_id,8
notification_sent,false
pipeline_run_id,8-2026-07-20 21:30:11
user_task_id,polaris-bhv4-ten-percent
last_heartbeat,2026-07-20T21:44:14.494000+00:00
params_baseline_id,6023
task_sub_type,
agent_task_id,1440411764
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-ten-percent
env_name,default
task_duration,891.179
cost,0.560079756141976
env,default
duration,891.179
task_rnum,1
utilization,0.2902479893634763
cnt_metrics,89
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_tfs_completed,28
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":8,""env_id"":1,""app_pit"":""2026-07-20T21:30:11"",""task_id"":7023,""task_name"":""polaris-bhv4-ten-percent"",""driver__cores"":1,""task__duration"":891.179,""executor__cores"":1,""task__idle_time"":72.2449994087219,""task__skew_time"":0,""executors__duration"":41727.13755555556,""task__metrics_count"":89,""task__total_io_bytes"":1279642450983,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T21:45:05.406856"",""executors__jvm_gc_time"":41.759,""task__task_cpus__param"":1,""task__vcore_time__used"":36242.637,""suggested_executors_max"":37,""suggested_executors_min"":29,""task__memory_time__used"":222796.91317221965,""task__tfs_count__failed"":0,""configured_max_executors"":50,""driver__memory__max_used"":2.69423055648804,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":5,""executors__cpu_time__used"":29333.34,""task__idle_time_percentage"":8.106676594569878,""task__skew_time_percentage"":0,""task__tfs_count__completed"":28,""executor__memory__allocated"":18,""executors__retry_percentage"":0,""executors__vcore_time__used"":35349.637,""task__vcore_time__allocated"":42620,""driver__vcore_time_allocated"":891.179,""executors__memory_time__used"":220395.8714791192,""task__memory_time__allocated"":755544.371,""driver__heap_memory__max_used"":2.69423055648804,""executors__gc_time_percentage"":0.11813134035860112,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":4455.8949999999995,""executors__vcores_time__unused"":83454.27511111111,""executor__memory_heap__max_used"":12.7486977726221,""task__executor_instances__param"":50,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":16,""executors__vcore_time__allocated"":41726,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":751088.476,""executors__vcore_time__allocated2"":41726,""executor__memory_off_heap__max_used"":0,""driver__memory_heap__suggested_value"":4,""executor__memory_off_heap__allocated"":2,""executor__memory_heap__max_percentage"":79.67936107888812,""executor__memory_heap__suggested_value"":16,""executors__cpu_utilization__percentage"":82.98059750938884,""executor__memory_off_heap__max_percentage"":0,""executor__memory_off_heap__suggested_value"":2,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":67.355763912201,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":84.71848967070892}"
links,
version,3.5.7
