key,value
tf_id,97659
agent_tf_id,22
task_id,7023
env,default
task_name,polaris-bhv4-ten-percent
app_id,8
app_name,polaris-bhv4-ten-percent
app_pit,2026-07-20T21:30:11
output_name,
tf_type,collect
status,COMPLETED
start_time,2026-07-20T21:42:13.188000+00:00
end_time,2026-07-20T21:42:40.148000+00:00
duration,26.96
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_metrics,
tf_io_type,internal
error,
description,getHistory at DeltaTableOperations.scala:57 (SerializeFromObject)
