key,value
env_id,1
task_id,18609
app_pit,2026-09-06T07:01:46
task_name,cr-ml-b4-agg-app
task_type,spark
start_time,2026-09-06T07:01:46.695000+00:00
end_time,2026-09-06T07:29:41.433000+00:00
status,COMPLETED
error,
app_id,4
notification_sent,false
pipeline_run_id,4-2026-09-06 07:01:46
user_task_id,cr-ml-b4-agg-app
last_heartbeat,2026-09-06T07:29:41.137000+00:00
params_baseline_id,907
task_sub_type,
agent_task_id,4479520990716971523
tenant_id,1
parent_task_id,
retention_end_time,
is_retry,false
status_updated_at,2026-09-06T07:29:41.444116+00:00
app_name,cr-ml-b4-agg-app
env_name,default
task_duration,1674.738
cost,12.42170217944444
env,default
duration,1674.738
task_rnum,1
utilization,0.4411147073172827
cnt_metrics,118
cnt_test_runs,13
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,2
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":4,""env_id"":1,""app_pit"":""2026-09-06T07:01:46"",""task_id"":18609,""task_name"":""cr-ml-b4-agg-app"",""driver__cores"":2,""task__duration"":1674.738,""executor__cores"":5,""task__idle_time"":85.6150002479553,""task__skew_time"":370,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":293867.74966666667,""task__metrics_count"":118,""task__total_io_bytes"":5633158877569,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-09-06T07:29:41.623693"",""executors__jvm_gc_time"":80854.615,""task__task_cpus__param"":1,""task__tests_runs_count"":13,""task__vcore_time__used"":1351394.417,""driver__cpu_utilization"":0.0412783751493429,""suggested_executors_min"":118,""task__memory_time__used"":6211879.706565123,""task__tfs_count__failed"":0,""configured_max_executors"":200,""driver__memory__max_used"":3.17920681834221,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":10,""executors__cpu_time__used"":794209.21,""executors__run_time__used"":1351256.217,""task__idle_time_percentage"":5.11214292910027,""task__skew_time_percentage"":22.093007980949857,""task__tfs_count__completed"":2,""executor__memory__allocated"":57,""executors__retry_percentage"":0,""executors__vcore_time__used"":1351256.217,""task__vcore_time__allocated"":1472687,""driver__vcore_time_allocated"":3349.476,""executors__memory_time__used"":6206555.368096586,""task__memory_time__allocated"":16767209.111,""driver__heap_memory__max_used"":2.54824063181877,""executors__gc_time_percentage"":5.983662756387527,""driver__heap_memory__allocated"":8,""driver__memory_time__allocated"":16747.38,""executors__vcores_time__unused"":1322404.8735,""executor__memory_heap__max_used"":44.4272513389587,""executors__tasks_duration__used"":1353966.74,""task__executor_instances__param"":200,""task__shuffle_partitions__param"":""20000"",""executor__memory_heap__allocated"":52,""executor__memory_overhead__param"":5,""executors__vcore_time__allocated"":1469339,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":16750461.730999999,""executors__vcore_time__allocated2"":1469339,""executor__memory_off_heap__max_used"":3.41423797607422,""driver__memory_heap__suggested_value"":4,""executor__memory_off_heap__allocated"":5,""executor__memory_heap__max_percentage"":85.4370218056898,""executor__memory_heap__suggested_value"":52,""executors__cpu_utilization__percentage"":58.77561930950953,""executor__memory_off_heap__max_percentage"":68.2847595214844,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":31.853007897734624,""executor__memory_off_heap__managed_max_used"":0,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":91.96354394731236,""suggested_executors_max"":181,""cost_reduction_pct"":0,""current_utilization_pct"":92,""estimated_utilization_pct"":92,""estimated_duration_impact_pct"":9,""estimated_duration_impact_minutes"":3}"
links,
version,3.5.7
