key,value
env_id,1
task_id,4663
app_pit,2026-07-06T12:20:07
task_name,polaris-bhv4-100
task_type,spark
start_time,2026-07-06T12:20:09.514000+00:00
end_time,2026-07-06T12:39:12.124000+00:00
status,COMPLETED
error,
app_id,2
notification_sent,false
pipeline_run_id,2-2026-07-06 12:20:07
user_task_id,polaris-bhv4-100
last_heartbeat,2026-07-06T12:38:10.083000+00:00
params_baseline_id,73
task_sub_type,
agent_task_id,1804435064
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-100
env_name,default
task_duration,1142.61
cost,8.70783322484675
env,default
duration,1142.61
task_rnum,1
utilization,0.30859154873394656
cnt_metrics,89
cnt_test_runs,10
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,4
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":2,""env_id"":1,""app_pit"":""2026-07-06T12:20:07"",""task_id"":4663,""task_name"":""polaris-bhv4-100"",""driver__cores"":4,""task__duration"":1142.61,""executor__cores"":5,""task__idle_time"":120.400000095367,""task__skew_time"":0,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":154165.3199310345,""task__metrics_count"":89,""task__total_io_bytes"":15944812835802,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-06T12:39:12.315225"",""executors__jvm_gc_time"":1688.009,""task__task_cpus__param"":1,""task__tests_runs_count"":10,""task__vcore_time__used"":641804.828,""suggested_executors_max"":102,""suggested_executors_min"":82,""task__memory_time__used"":3255741.187500551,""task__tfs_count__failed"":0,""configured_max_executors"":150,""driver__memory__max_used"":2.36898756027222,""task__disk_bytes_spilled"":0,""task__tfs_count__running"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":429999.42,""task__idle_time_percentage"":10.537278694862378,""task__skew_time_percentage"":0,""task__tfs_count__completed"":4,""executor__memory__allocated"":58,""executors__retry_percentage"":0,""executors__vcore_time__used"":637225.828,""task__vcore_time__allocated"":775405,""driver__vcore_time_allocated"":4570.44,""executors__memory_time__used"":3253034.3586243084,""task__memory_time__allocated"":8948444.216,""driver__heap_memory__max_used"":1.59003782272339,""executors__gc_time_percentage"":0.264899651870357,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":6855.66,""executors__vcores_time__unused"":1464570.5393448276,""executor__memory_heap__max_used"":45.1033607944846,""task__executor_instances__param"":150,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":50,""executors__vcore_time__allocated"":770825,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":8941588.556,""executors__vcore_time__allocated2"":770825,""executor__memory_off_heap__max_used"":3.00882720947266,""driver__memory_heap__suggested_value"":2,""executor__memory_off_heap__allocated"":8,""executor__memory_heap__max_percentage"":90.20672158896919,""executor__memory_heap__suggested_value"":50,""executors__cpu_utilization__percentage"":67.47991074837601,""executor__memory_off_heap__max_percentage"":37.610340118408246,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":39.75094556808475,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":82.66802815165569}"
links,
version,3.5.7
