key,value
env_id,1
task_id,1685
app_pit,2026-06-05T23:40:07
task_name,polaris-bhv4-100
task_type,spark
start_time,2026-06-05T23:40:09.830000+00:00
end_time,2026-06-06T00:29:38.887000+00:00
status,COMPLETED
error,
app_id,2
notification_sent,false
pipeline_run_id,2-2026-06-05 23:40:07
user_task_id,polaris-bhv4-100
last_heartbeat,2026-06-06T00:28:10.378000+00:00
params_baseline_id,73
task_sub_type,
agent_task_id,777378647
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-100
env_name,default
task_duration,2969.057
cost,15.82611980126263
env,default
duration,2969.057
task_rnum,1
utilization,0.3182041066643879
cnt_metrics,90
cnt_test_runs,11
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,8
cnt_tfs_running,0
cnt_tfs_failed,0
run_insights,"{""app_id"":2,""env_id"":1,""app_pit"":""2026-06-05T23:40:07"",""task_id"":1685,""task_name"":""polaris-bhv4-100"",""driver__cores"":5,""task__duration"":2969.057,""executor__cores"":4,""task__idle_time"":113.174999952316,""task__skew_time"":0,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":295104.76683636365,""task__metrics_count"":90,""task__total_io_bytes"":34321188762484,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-06-06T00:29:39.182967"",""executors__jvm_gc_time"":3121.072,""task__task_cpus__param"":1,""task__tests_runs_count"":11,""task__vcore_time__used"":1043132.669,""suggested_executors_max"":79,""suggested_executors_min"":63,""task__memory_time__used"":7698044.037967686,""task__tfs_count__failed"":0,""configured_max_executors"":100,""driver__memory__max_used"":2.80631399154663,""task__disk_bytes_spilled"":4394744385,""task__tfs_count__running"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":954724.65,""task__idle_time_percentage"":3.811816342775366,""task__skew_time_percentage"":0,""task__tfs_count__completed"":8,""executor__memory__allocated"":55,""executors__retry_percentage"":0,""executors__vcore_time__used"":1028276.669,""task__vcore_time__allocated"":1195274,""driver__vcore_time_allocated"":14845.285,""executors__memory_time__used"":7689711.931766886,""task__memory_time__allocated"":16248576.518,""driver__heap_memory__max_used"":2.80631399154663,""executors__gc_time_percentage"":0.3035245371301914,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":17814.341999999997,""executors__vcores_time__unused"":2877271.4766545454,""executor__memory_heap__max_used"":49.376609146595,""task__executor_instances__param"":100,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":50,""executors__vcore_time__allocated"":1180418,""task__is_run_with_long_idle_time"":false,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":16230762.175999999,""executors__vcore_time__allocated2"":1180418,""executor__memory_off_heap__max_used"":3.88583374023438,""driver__memory_heap__suggested_value"":4,""executor__memory_off_heap__allocated"":5,""executor__memory_heap__max_percentage"":98.75321829319,""executor__memory_heap__suggested_value"":50,""executors__cpu_utilization__percentage"":92.84705943279552,""executor__memory_off_heap__max_percentage"":77.7166748046876,""executor__memory_off_heap__suggested_value"":5,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":70.15784978866574,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":87.11123254643695}"
links,
version,3.5.7
