key,value
env_id,1
task_id,7001
app_pit,2026-07-20T18:40:06
task_name,polaris-bhv4-100
task_type,spark
start_time,2026-07-20T18:40:08.399000+00:00
end_time,2026-07-20T18:41:58.997000+00:00
status,COMPLETED
error,
app_id,2
notification_sent,false
pipeline_run_id,2-2026-07-20 18:40:06
user_task_id,polaris-bhv4-100
last_heartbeat,2026-07-20T18:40:08.399000+00:00
params_baseline_id,73
task_sub_type,
agent_task_id,634549612
tenant_id,1
parent_task_id,
retention_end_time,
app_name,polaris-bhv4-100
env_name,default
task_duration,110.598
cost,0.3024619680555561
env,default
duration,110.598
task_rnum,1
utilization,0.004234250474489278
cnt_metrics,79
cnt_test_runs,5
cnt_alerts,0
cnt_breaks,0
cnt_tfs_completed,
cnt_tfs_running,
cnt_tfs_failed,
run_insights,"{""app_id"":2,""env_id"":1,""app_pit"":""2026-07-20T18:40:06"",""task_id"":7001,""task_name"":""polaris-bhv4-100"",""driver__cores"":4,""task__duration"":110.598,""executor__cores"":6,""task__idle_time"":110.598000049591,""task__skew_time"":0,""task__alerts_count"":0,""task__breaks_count"":0,""executors__duration"":8466.61025,""task__metrics_count"":79,""task__total_io_bytes"":0,""has_dedicated_cluster"":false,""enrichments_updated_at"":""2026-07-20T18:41:59.221016"",""executors__jvm_gc_time"":0,""task__task_cpus__param"":1,""task__tests_runs_count"":5,""task__vcore_time__used"":449,""suggested_executors_max"":60,""suggested_executors_min"":0,""task__memory_time__used"":120.51903431510945,""configured_max_executors"":120,""driver__memory__max_used"":1.08970355987549,""task__disk_bytes_spilled"":0,""driver__memory__allocated"":6,""executors__cpu_time__used"":1099.8,""task__idle_time_percentage"":100.00000004483896,""task__skew_time_percentage"":0,""executor__memory__allocated"":48,""executors__vcore_time__used"":0,""task__vcore_time__allocated"":51247,""driver__vcore_time_allocated"":442.392,""executors__memory_time__used"":0,""task__memory_time__allocated"":407060.88,""driver__heap_memory__max_used"":1.08970355987549,""driver__heap_memory__allocated"":4,""driver__memory_time__allocated"":663.588,""executors__vcores_time__unused"":16933.2205,""executor__memory_heap__max_used"":0.875,""task__executor_instances__param"":120,""task__shuffle_partitions__param"":""200"",""executor__memory_heap__allocated"":40,""executors__vcore_time__allocated"":50798,""task__is_run_with_long_idle_time"":true,""task__is_run_with_long_skew_time"":false,""executors__memory_time__allocated"":406397.292,""executors__vcore_time__allocated2"":50798,""executor__memory_off_heap__max_used"":0,""driver__memory_heap__suggested_value"":2,""executor__memory_off_heap__allocated"":8,""executor__memory_heap__max_percentage"":2.1875,""executor__memory_heap__suggested_value"":2,""executor__memory_off_heap__max_percentage"":0,""executor__memory_off_heap__suggested_value"":4,""task__dynamic_is_allocation_enabled__param"":false,""driver__memory_heap_utilization__percentage"":27.24258899688725,""executors__used_vcore_time_of_retried_tasks"":0,""executors__vcore_time_utilization__percentage"":0}"
links,
version,3.5.7
